SampleID	marker	SRA_accession	BioSample_accession	BioProject_accession
CWE19	Cytb	SRR7108866	SAMN09060039	PRJNA454866
CWE20	Cytb	SRR7108867	SAMN09060040	PRJNA454866
FEN01	Cytb	SRR7108829	SAMN09060041	PRJNA454866
FEN02	Cytb	SRR7108828	SAMN09060042	PRJNA454866
FEN03	Cytb	SRR7108831	SAMN09060043	PRJNA454866
FEN04	Cytb	SRR7108830	SAMN09060044	PRJNA454866
FEN05	Cytb	SRR7108825	SAMN09060045	PRJNA454866
FEN06	Cytb	SRR7108824	SAMN09060046	PRJNA454866
FEN07	Cytb	SRR7108827	SAMN09060047	PRJNA454866
FEN08	Cytb	SRR7108826	SAMN09060048	PRJNA454866
FEN09	Cytb	SRR7108834	SAMN09060049	PRJNA454866
FEN10	Cytb	SRR7108833	SAMN09060050	PRJNA454866
FEN11	Cytb	SRR7108804	SAMN09060051	PRJNA454866
FEN12	Cytb	SRR7108678	SAMN09060052	PRJNA454866
FEN13	Cytb	SRR7108680	SAMN09060053	PRJNA454866
FEN14	Cytb	SRR7108682	SAMN09060054	PRJNA454866
FEN15	Cytb	SRR7108767	SAMN09060055	PRJNA454866
FEN16	Cytb	SRR7108636	SAMN09060056	PRJNA454866
FEN17	Cytb	SRR7108666	SAMN09060057	PRJNA454866
FEN18	Cytb	SRR7108669	SAMN09060058	PRJNA454866
FEN19	Cytb	SRR7108793	SAMN09060059	PRJNA454866
FEN20	Cytb	SRR7108701	SAMN09060060	PRJNA454866
KEN01	Cytb	SRR7108750	SAMN09060061	PRJNA454866
KEN02	Cytb	SRR7108749	SAMN09060062	PRJNA454866
KEN03	Cytb	SRR7108748	SAMN09060063	PRJNA454866
KEN04	Cytb	SRR7108746	SAMN09060064	PRJNA454866
KEN05	Cytb	SRR7108763	SAMN09060065	PRJNA454866
KEN06	Cytb	SRR7108760	SAMN09060066	PRJNA454866
KEN07	Cytb	SRR7108765	SAMN09060067	PRJNA454866
KEN08	Cytb	SRR7108751	SAMN09060068	PRJNA454866
KEN09	Cytb	SRR7108702	SAMN09060069	PRJNA454866
KEN10	Cytb	SRR7108722	SAMN09060070	PRJNA454866
KEN55	Cytb	SRR7108652	SAMN09060071	PRJNA454866
KEN95	Cytb	SRR7108653	SAMN09060072	PRJNA454866
LLB01	Cytb	SRR7108739	SAMN09059991	PRJNA454866
LLB02	Cytb	SRR7108740	SAMN09059992	PRJNA454866
LLB03	Cytb	SRR7108737	SAMN09059993	PRJNA454866
LLB04	Cytb	SRR7108732	SAMN09059994	PRJNA454866
LLB05	Cytb	SRR7108743	SAMN09059995	PRJNA454866
LLB06	Cytb	SRR7108744	SAMN09059996	PRJNA454866
LLB07	Cytb	SRR7108741	SAMN09059997	PRJNA454866
LLB08	Cytb	SRR7108742	SAMN09059998	PRJNA454866
LLB09	Cytb	SRR7108735	SAMN09059999	PRJNA454866
LLB10	Cytb	SRR7108736	SAMN09060000	PRJNA454866
LLG01	Cytb	SRR7108650	SAMN09060073	PRJNA454866
LLG02	Cytb	SRR7108651	SAMN09060074	PRJNA454866
LLG03	Cytb	SRR7108656	SAMN09060075	PRJNA454866
LLG04	Cytb	SRR7108657	SAMN09060076	PRJNA454866
LLG05	Cytb	SRR7108654	SAMN09060077	PRJNA454866
LLG06	Cytb	SRR7108655	SAMN09060078	PRJNA454866
LLG07	Cytb	SRR7108660	SAMN09060079	PRJNA454866
LLG08	Cytb	SRR7108661	SAMN09060080	PRJNA454866
LLG09	Cytb	SRR7108684	SAMN09060081	PRJNA454866
LLG10	Cytb	SRR7108683	SAMN09060082	PRJNA454866
LLG11	Cytb	SRR7108686	SAMN09060083	PRJNA454866
LLG12	Cytb	SRR7108685	SAMN09060084	PRJNA454866
LLG13	Cytb	SRR7108688	SAMN09060085	PRJNA454866
LLG14	Cytb	SRR7108687	SAMN09060086	PRJNA454866
LLG15	Cytb	SRR7108690	SAMN09060087	PRJNA454866
LLG16	Cytb	SRR7108689	SAMN09060088	PRJNA454866
LLG17	Cytb	SRR7108692	SAMN09060089	PRJNA454866
LLG18	Cytb	SRR7108691	SAMN09060090	PRJNA454866
LLG19	Cytb	SRR7108838	SAMN09060091	PRJNA454866
LLG20	Cytb	SRR7108839	SAMN09060092	PRJNA454866
MAP01	Cytb	SRR7108840	SAMN09060093	PRJNA454866
MAP02	Cytb	SRR7108841	SAMN09060094	PRJNA454866
MAP03	Cytb	SRR7108842	SAMN09060095	PRJNA454866
MAP04	Cytb	SRR7108843	SAMN09060096	PRJNA454866
MAP05	Cytb	SRR7108844	SAMN09060097	PRJNA454866
MAP06	Cytb	SRR7108845	SAMN09060098	PRJNA454866
MAP07	Cytb	SRR7108836	SAMN09060099	PRJNA454866
MAP08	Cytb	SRR7108837	SAMN09060100	PRJNA454866
MAP09	Cytb	SRR7108875	SAMN09060101	PRJNA454866
MAP10	Cytb	SRR7108874	SAMN09060102	PRJNA454866
MAP11	Cytb	SRR7108873	SAMN09060103	PRJNA454866
MAP12	Cytb	SRR7108872	SAMN09060104	PRJNA454866
MAP13	Cytb	SRR7108871	SAMN09060105	PRJNA454866
MAP14	Cytb	SRR7108870	SAMN09060106	PRJNA454866
MAP15	Cytb	SRR7108869	SAMN09060107	PRJNA454866
MAP16	Cytb	SRR7108868	SAMN09060108	PRJNA454866
MAP17	Cytb	SRR7108883	SAMN09060109	PRJNA454866
MAP18	Cytb	SRR7108882	SAMN09060110	PRJNA454866
MAP19	Cytb	SRR7108786	SAMN09060111	PRJNA454866
MAP20	Cytb	SRR7108787	SAMN09060112	PRJNA454866
OGW01	Cytb	SRR7108730	SAMN09060133	PRJNA454866
OGW02	Cytb	SRR7108731	SAMN09060134	PRJNA454866
OGW03	Cytb	SRR7108724	SAMN09060135	PRJNA454866
OGW04	Cytb	SRR7108725	SAMN09060136	PRJNA454866
OGW05	Cytb	SRR7108726	SAMN09060137	PRJNA454866
OGW06	Cytb	SRR7108727	SAMN09060138	PRJNA454866
OGW07	Cytb	SRR7108733	SAMN09060139	PRJNA454866
OGW08	Cytb	SRR7108734	SAMN09060140	PRJNA454866
OGW09	Cytb	SRR7108755	SAMN09060141	PRJNA454866
OGW10	Cytb	SRR7108754	SAMN09060142	PRJNA454866
OGW11	Cytb	SRR7108753	SAMN09060143	PRJNA454866
OGW12	Cytb	SRR7108752	SAMN09060144	PRJNA454866
OGW13	Cytb	SRR7108759	SAMN09060145	PRJNA454866
OGW14	Cytb	SRR7108758	SAMN09060146	PRJNA454866
OGW15	Cytb	SRR7108757	SAMN09060147	PRJNA454866
OGW16	Cytb	SRR7108756	SAMN09060148	PRJNA454866
OGW17	Cytb	SRR7108762	SAMN09060149	PRJNA454866
OGW18	Cytb	SRR7108761	SAMN09060150	PRJNA454866
OGW19	Cytb	SRR7108672	SAMN09060151	PRJNA454866
OGW20	Cytb	SRR7108673	SAMN09060152	PRJNA454866
OSS01	Cytb	SRR7108784	SAMN09060113	PRJNA454866
OSS02	Cytb	SRR7108785	SAMN09060114	PRJNA454866
OSS03	Cytb	SRR7108782	SAMN09060115	PRJNA454866
OSS04	Cytb	SRR7108783	SAMN09060116	PRJNA454866
OSS05	Cytb	SRR7108780	SAMN09060117	PRJNA454866
OSS06	Cytb	SRR7108781	SAMN09060118	PRJNA454866
OSS07	Cytb	SRR7108778	SAMN09060119	PRJNA454866
OSS08	Cytb	SRR7108779	SAMN09060120	PRJNA454866
OSS09	Cytb	SRR7108810	SAMN09060121	PRJNA454866
OSS10	Cytb	SRR7108809	SAMN09060122	PRJNA454866
OSS11	Cytb	SRR7108812	SAMN09060123	PRJNA454866
OSS12	Cytb	SRR7108811	SAMN09060124	PRJNA454866
OSS13	Cytb	SRR7108806	SAMN09060125	PRJNA454866
OSS14	Cytb	SRR7108805	SAMN09060126	PRJNA454866
OSS15	Cytb	SRR7108808	SAMN09060127	PRJNA454866
OSS16	Cytb	SRR7108807	SAMN09060128	PRJNA454866
OSS17	Cytb	SRR7108803	SAMN09060129	PRJNA454866
OSS18	Cytb	SRR7108802	SAMN09060130	PRJNA454866
OSS19	Cytb	SRR7108728	SAMN09060131	PRJNA454866
OSS20	Cytb	SRR7108729	SAMN09060132	PRJNA454866
PAD01	Cytb	SRR7108670	SAMN09060153	PRJNA454866
PAD02	Cytb	SRR7108671	SAMN09060154	PRJNA454866
PAD03	Cytb	SRR7108676	SAMN09060155	PRJNA454866
PAD04	Cytb	SRR7108677	SAMN09060156	PRJNA454866
PAD05	Cytb	SRR7108674	SAMN09060157	PRJNA454866
PAD06	Cytb	SRR7108675	SAMN09060158	PRJNA454866
PAD07	Cytb	SRR7108667	SAMN09060159	PRJNA454866
PAD08	Cytb	SRR7108668	SAMN09060160	PRJNA454866
PAD09	Cytb	SRR7108705	SAMN09060161	PRJNA454866
PAD10	Cytb	SRR7108704	SAMN09060162	PRJNA454866
PAD11	Cytb	SRR7108707	SAMN09060163	PRJNA454866
PAD12	Cytb	SRR7108706	SAMN09060164	PRJNA454866
PAD13	Cytb	SRR7108709	SAMN09060165	PRJNA454866
PAD14	Cytb	SRR7108708	SAMN09060166	PRJNA454866
PAD15	Cytb	SRR7108711	SAMN09060167	PRJNA454866
PAD16	Cytb	SRR7108710	SAMN09060168	PRJNA454866
PAD17	Cytb	SRR7108700	SAMN09060169	PRJNA454866
PAD18	Cytb	SRR7108699	SAMN09060170	PRJNA454866
PAD19	Cytb	SRR7108738	SAMN09060171	PRJNA454866
PAD20	Cytb	SRR7108703	SAMN09060172	PRJNA454866
PEN01	Cytb	SRR7108694	SAMN09060173	PRJNA454866
PEN02	Cytb	SRR7108693	SAMN09060174	PRJNA454866
PEN03	Cytb	SRR7108696	SAMN09060175	PRJNA454866
PEN04	Cytb	SRR7108695	SAMN09060176	PRJNA454866
PEN05	Cytb	SRR7108698	SAMN09060177	PRJNA454866
PEN06	Cytb	SRR7108697	SAMN09060178	PRJNA454866
PEN07	Cytb	SRR7108681	SAMN09060179	PRJNA454866
PEN08	Cytb	SRR7108679	SAMN09060180	PRJNA454866
PEN09	Cytb	SRR7108764	SAMN09060181	PRJNA454866
PEN10	Cytb	SRR7108766	SAMN09060182	PRJNA454866
TRA01	Cytb	SRR7108848	SAMN09060203	PRJNA454866
TRA02	Cytb	SRR7108849	SAMN09060204	PRJNA454866
TRA03	Cytb	SRR7108850	SAMN09060205	PRJNA454866
TRA04	Cytb	SRR7108851	SAMN09060206	PRJNA454866
TRA05	Cytb	SRR7108852	SAMN09060207	PRJNA454866
TRA06	Cytb	SRR7108853	SAMN09060208	PRJNA454866
TRA07	Cytb	SRR7108854	SAMN09060209	PRJNA454866
